Ticker,Company,Industry,Headquarter,Date added to SP500,Founded,,
TDG,TransDigm Group,Industrials,Ohio,6/3/16,1993,,
TDY,Teledyne Technologies,Industrials,California,6/22/20,1960,,
TT,Trane Technologies,Industrials,Ireland,11/17/10,1871,,
TXT,Textron,Industrials,Rhode Island,12/31/78,1923,,
UAL,United Airlines,Industrials,Illinois,9/3/15,1967,,
UNP,Union Pacific,Industrials,Nebraska,3/4/57,1862,,
UPS,United Parcel Service,Industrials,Georgia,7/22/02,1907,,
URI,United Rentals,Industrials,Connecticut,9/20/14,1997,,
VRSK,Verisk Analytics,Industrials,New Jersey,10/8/15,1971,,
WAB,Wabtec,Industrials,Pennsylvania,2/27/19,1869,,
WM,Waste Management,Industrials,Texas,,1968,,
XYL,Xylem,Industrials,New York,11/1/11,2011,,
AAPL,Apple,Information Technology,California,11/30/82,1977,74,
ACN,Accenture,Information Technology,Ireland,7/6/11,1989,,
ADBE,Adobe,Information Technology,California,5/5/97,1982,,
ADI,Analog Devices,Information Technology,Massachusetts,10/12/99,1965,,
ADP,Automatic Data Processing,Information Technology,New Jersey,3/31/81,1949,,
ADSK,Autodesk,Information Technology,California,12/1/89,1982,,
AKAM,Akamai Technologies,Information Technology,Massachusetts,7/12/07,1998,,
AMAT,Applied Materials,Information Technology,California,3/16/95,1967,,
AMD,Advanced Micro Devices,Information Technology,California,,1969,,
ANET,Arista Networks,Information Technology,California,8/28/18,2004,,
ANSS,Ansys,Information Technology,Pennsylvania,6/19/17,1969,,
APH,Amphenol,Information Technology,Connecticut,9/30/08,1932,,
AVGO,Broadcom,Information Technology,California,5/8/14,1961,,
BR,Broadridge Financial Solutions,Information Technology,New York,6/18/18,1962,,
CDAY,Ceridian,Information Technology,Minnesota,9/20/21,1992,,
CDNS,Cadence Design Systems,Information Technology,California,9/18/17,1988,,
CDW,CDW,Information Technology,Illinois,9/23/19,1984,,
CRM,Salesforce,Information Technology,California,9/15/08,1999,,
CSCO,Cisco Systems,Information Technology,California,12/1/93,1984,,
CTSH,Cognizant Technology Solutions,Information Technology,New Jersey,11/17/06,1994,,
CTXS,Citrix Systems,Information Technology,Florida,12/1/99,1989,,
DXC,DXC Technology,Information Technology,Virginia,4/4/17,2017,,
ENPH,Enphase Energy,Information Technology,California,1/7/21,2006,,
FFIV,F5 Networks,Information Technology,Washington,12/20/10,1996,,
FIS,Fidelity National Information Services,Information Technology,Florida,11/10/06,1968,,
FISV,Fiserv,Information Technology,Wisconsin,4/2/01,1984,,
